id,target
0000.jpg,dog
0001.jpg,cat
0002.jpg,truck
0003.jpg,cat
0004.jpg,airplane
0005.jpg,deer
0006.jpg,bird
0007.jpg,frog
0008.jpg,airplane
0009.jpg,horse
0010.jpg,deer
0011.jpg,cat
0012.jpg,horse
0013.jpg,bird
0014.jpg,bird
0015.jpg,horse
0016.jpg,truck
0017.jpg,airplane
0018.jpg,bird
0019.jpg,truck
0020.jpg,bird
0021.jpg,deer
0022.jpg,cat
0023.jpg,truck
0024.jpg,truck
0025.jpg,truck
0026.jpg,ship
0027.jpg,ship
0028.jpg,horse
0029.jpg,ship
0030.jpg,deer
0031.jpg,deer
0032.jpg,automobile
0033.jpg,dog
0034.jpg,deer
0035.jpg,ship
0036.jpg,automobile
0037.jpg,dog
0038.jpg,airplane
0039.jpg,airplane
0040.jpg,cat
0041.jpg,truck
0042.jpg,airplane
0043.jpg,dog
0044.jpg,horse
0045.jpg,truck
0046.jpg,deer
0047.jpg,deer
0048.jpg,horse
0049.jpg,ship
0050.jpg,airplane
0051.jpg,ship
0052.jpg,frog
0053.jpg,deer
0054.jpg,airplane
0055.jpg,cat
0056.jpg,airplane
0057.jpg,cat
0058.jpg,automobile
0059.jpg,horse
0060.jpg,bird
0061.jpg,frog
0062.jpg,ship
0063.jpg,deer
0064.jpg,deer
0065.jpg,deer
0066.jpg,airplane
0067.jpg,bird
0068.jpg,ship
0069.jpg,cat
0070.jpg,frog
0071.jpg,ship
0072.jpg,frog
0073.jpg,automobile
0074.jpg,cat
0075.jpg,dog
0076.jpg,ship
0077.jpg,frog
0078.jpg,deer
0079.jpg,airplane
0080.jpg,truck
0081.jpg,cat
0082.jpg,bird
0083.jpg,automobile
0084.jpg,deer
0085.jpg,cat
0086.jpg,horse
0087.jpg,airplane
0088.jpg,dog
0089.jpg,dog
0090.jpg,horse
0091.jpg,deer
0092.jpg,truck
0093.jpg,ship
0094.jpg,deer
0095.jpg,horse
0096.jpg,deer
0097.jpg,bird
0098.jpg,ship
0099.jpg,truck
0100.jpg,bird
0101.jpg,airplane
0102.jpg,truck
0103.jpg,airplane
0104.jpg,deer
0105.jpg,dog
0106.jpg,automobile
0107.jpg,horse
0108.jpg,horse
